PROFONDEUR_TOIT	PROFONDEUR_BASE	ID_UNITE_GEOL	NPXY
8.3	14	9346	6e2
72	80	2212	9a
5.2	8.2	1813	9a
33	42	8191	7a
0	0.5	1876	1
1.7	5.5	2366	6c12
0	0.3	8844	1
20	25.2	7489	9a
0	4	13663	6e
6.9	8	13439	6d12
2.4	10	450	9a
0	0.3	9210	1
73.9	98.4	1929	9a
9.9	18.1	7871	7e12
0	1.2	2325	2
3.6	15.2	11936	9a
3.2	4.86	7713	1-2
48	52	6358	12a
10	24	8197	7e
0.1	1.35	2434	2
0.95	1.95	1330	2
3.5	4	8589	6d2
0	0.3	7795	1
6.9	8.5	13620	7e2
1	1.5	9436	9a
9.9	19.1	7882	7d12
2.8	8.9	8915	6b
0	0.6	8253	1
21.9	24.2	13605	7e1
0	0.4	8817	1
15.4	18	9723	7
0	0.5	8752	2
4	9	7601	9a
9.5	18.2	13733	9a
12.8	16.9	14472	12e
57	67	6665	7c1
21	25.1	12165	6c2
16.7	17.9	9583	14-15
44.9	47.5	14278	7e
0	6	7947	7d
2	5.5	13537	4a
21.2	30	2374	7c1
0.4	0.75	8431	3c
4.9	17	7844	7e12
1.9	2.5	9085	6a12
1.2	2.85	9056	6e
10.2	14.5	9209	7e2
0	0.3	8445	1
18	28	8224	9a
13.5	21	13787	9
2.1	3.2	9165	6d1
0.45	1	8479	3
15	18.8	2354	6e12
0	0.4	5558	2
50.5	61.1	8776	9a
17.9	24.6	12335	7d1
0	0.4	13536	1
0	0.35	11831	2
3.7	5.4	13126	6e
0	0.45	13356	1
13.3	16.9	8005	6e2
0.3	1.55	14334	3d
0	2.3	2336	2
0.9	2.1	8438	6e
0	0.5	13247	2
5	8	2538	9a
0	0.5	1572	1
0.3	0.75	11817	2
8.4	12	8366	7e2
0.7	1.9	13378	6d
0.6	2.9	13514	3d
0	0.4	11869	1
0	4.6	7030	2
21	27	728	7-12c
19.5	19.7	13134	8d
0	0.95	13532	1
0	0.5	2503	1
3.1	5.2	13404	7d
12.35	16.4	12101	6c1
15.1	20.75	12358	6d1
4.5	16.9	7531	11c
3.5	12	1717	9a
0	0.2	8563	1
0.1	5.7	13567	7e1
29	43	14253	6d12
40.5	44.8	13484	7c1
43.5	45.5	11849	9a
4.4	4.9	9107	6c2
0	0.3	9261	1
3.8	6.8	1277	6c
15.2	18.5	11980	6e2
2	4.2	9304	6c2
2	10	11806	7c1
3.8	4.4	8377	7e1
10	17.2	12298	6a
5.5	6.1	13270	2d
27	32	1912	6d
10.2	10.8	12128	5b2
0.4	1.7	2867	3
3.05	3.75	8032	6b
0.7	1.3	9052	3
6.95	7.3	2360	7e12
0	0.2	9077	2
3.2	5.2	12126	2
0.4	1.1	12144	2
44	52	6363	9a
9.5	15	8351	9a
7.35	14.9	13869	7d
4	4.5	12306	2
10.34	20.9	9768	9a
0	1.6	14324	2
11.8	13.8	13893	7d2
6.2	10.65	12170	6d2
0.3	2	11969	2
22.8	23.5	2355	7d12
0	0.3	8646	1
0	2.35	11996	2
1	6.2	12170	6a
0.6	2.1	8112	6e
0	1.2	12216	1
3.6	6.4	11971	9a
0.2	0.4	9123	2
0	2	5809	7d
21.3	28.2	7979	6e2
2.8	8.9	8841	6e2
36	38	6011	6b
11.15	20.95	14432	12e
12.5	17	11957	9a
4.15	6.4	9320	6c
29	60	13259	9a
0.5	1.3	280	6d1
0.3	1.4	8402	3
8.8	22	2331	9a
9	9.9	13778	7d12
3.6	5.3	14337	3d
3.5	5	12014	4a
0	0.6	13969	1
6.4	8.6	7923	6d2
0	0.1	9403	1
2.4	6	8835	6c2
0.7	1.05	1800	1
16.8	22.4	11740	9a
10.6	15	9641	9a
5.9	6.8	9338	6d2
6.6	8	12118	4b
0	3.1	12010	2
0	2	14359	7e
2.9	3.8	8649	7e1
9.5	11	9221	7e2
20	26	8186	7e
8.5	8.9	13404	7d
9.4	10.9	11974	9a
9.6	11	10653	9a
11.3	13.8	7032	8c1
10	30	4398	7e
3	10.5	14352	4-9e
41.4	54	13485	9
67	78	1933	9a
0.6	1.1	9136	6b
2.2	7.5	9329	6b2
0.5	3.4	7086	6a
5	7.8	9292	6d2
11.8	14.2	7975	6c2
0	1.2	1934	2
0	0.6	9291	2
4.5	6.6	8629	6d12
46	60	7624	12d
3	7	13261	6d
0.1	2.2	7802	1-2
54	68	8184	9b
2.8	2.9	13439	6d1
0	1	13880	2
3.3	3.5	2359	6c
0.2	0.9	9154	2
9.1	14.7	9363	6d2
12	19.6	8106	7d1
0	0.3	1898	1
14.5	17.5	13793	9a
6.4	7.2	11971	9a
2.9	5.5	13363	5d
2	4.95	8373	6c2
22	32	13289	9a
36.95	39	2339	9a
10.2	16.7	14325	6e2
2	3.2	1801	7d
3.9	6.1	1704	6d1
13	17.2	12242	9a
0	2	7821	2
12	14	2318	9a
0	0.9	2685	2
5.2	6.4	2442	7d2
8.45	13.2	2370	6c2
4	18	7951	7e
0	0.2	13844	1
47.2	52.9	7036	7c1
0.8	8.6	9335	6b
0	1.8	7832	2
1.9	3.6	8880	6c2
1.4	5.75	14382	7d
4.6	5.3	13420	2
1.2	1.9	8458	6c1
24.4	30	14288	6d
19.9	25.4	1545	6e2
2	3.4	8704	3
6.2	7.8	7833	6b
1.75	2	2293	3c
0.4	1	7616	3
6	12.7	11744	9a
14.35	20.8	14410	9a
0.3	0.9	8588	3
9.9	14.1	9342	6d2
12	15.1	13412	9a
48	52	1936	7d
12.3	12.9	13596	7e1
6.75	20.4	6980	9a
16	17.15	12542	9a
0.9	1.6	13680	3c
0	0.7	8600	2
0	0.7	9620	2
13	16	11962	9a
3.2	18	6786	9a
0.4	1.9	12095	2
0	0.55	11946	2b
8.5	11.1	9748	7d
1	3.6	13873	6c
0.9	1.9	9229	6c2
0.25	1	7970	2
1.7	2.2	8088	4a
1.7	2.5	7806	3
14.1	14.5	13266	2
75.8	81.5	12201	10d
0.95	8.65	8357	6d
0.75	2	8432	6b
1.1	1.6	13803	3d2
4	7.75	7777	7d
6.8	12	12185	9a
12	39	639	7e
4.75	6.9	13439	6
0	0.5	9719	1
1.6	2	11953	9a
95.5	96.8	1933	9a
0	0.2	11856	1
4	4.4	8380	7e1
50	54	13549	7a
11.9	30	12208	9a
2.15	5	8269	7d
24	35	2430	9
14	24	7228	9a
0	0.65	8319	1
1.1	3.8	9707	7b
1.1	6	11960	9a
0.5	0.7	8681	2
14	19	2702	7d
11.4	13.25	13963	6
0.2	0.7	6975	1-2
6.7	8	8346	7d
1	1.55	8345	6a
14.6	14.9	11832	7d1
10.3	12	13418	9a
7.2	9.1	11758	6d1
4.1	4.7	1543	3
8.2	22	13559	9c
0.3	0.6	13604	2d
13.2	14.3	7090	7d12
1.2	2.1	8508	6b
9.3	10	8024	6c2
3.4	4.2	7881	5b2
1.5	2.2	7940	3
0.4	1.7	9041	2
11.2	13	7997	6d2
3.1	30	13633	9a
0.3	1.5	12164	3
38	42.5	8744	14-15
1.4	5.6	9100	6b12
7.3	10	1211	6d1
0.3	1.2	9048	2
4	12	7794	7c
12.75	15.25	14265	6e
0	0.9	1340	1
0	0.3	8352	2
2.2	2.8	8514	6d
0.1	1.15	9092	2
3.6	5.8	13811	3d2
10.3	11.7	7721	3d
10	16	8024	6d2
29.7	31.2	7071	7c12
8.9	11.3	7032	8b
0	0.35	8371	1
66	70	11285	9a
1.2	1.6	14370	2
9.49	46.19	963	9a
1.2	2.7	13709	9a
8	14	2324	9b
14.9	18.7	11832	7d1
0	0.3	8111	1
0.2	0.9	8901	3
0.4	0.41	14349	2
0	3.5	13813	2
1.2	3	13719	9
0	1.1	9612	1
2.6	3.3	13970	5
0.5	1.2	7279	14-15
13	17	11968	9a
10	12	9633	9a
17.1	20	12049	9a
15.6	19.6	9173	7e12
3.8	5.6	23003	6e1
0.5	2.05	12160	6c12
0	6	13551	7d
0.9	2.1	8315	2
3.5	11.4	6352	6e2
11.35	12	11974	9a
12	19	7889	8e12
1.7	2.7	10650	4d
25	37.2	12130	6e12
0	0.25	13256	2
0.2	0.7	8808	2
19	23	13793	9a
3.3	4.8	14413	7e
14.5	19.7	13279	6d2
11.5	12	9069	8d2
2.6	5.8	14439	9c
1.2	1.8	13571	7c1
0.8	4	7788	7e
12	14	6169	7d
33	36	11928	9a
18.2	18.8	1935	6d
15.8	17.3	14397	9a
5.3	8.3	13681	6e2
7.5	8.8	7853	7c1
7.4	12	9405	6d2
0	1.85	6988	9a
80.1	81.9	9160	12a
0	0.2	12099	2
5.45	6.25	8091	2
1.8	3	9182	6b
1	1.4	9197	6b
1.4	2	9089	6a
6	12	6169	7e
7.8	15.6	9173	7e2
8	10	5809	7a
18.5	20	9050	7e2
2.7	11.7	8028	6e2
47.25	48.8	11849	9a
10.6	11.8	11819	7c
0.4	7.9	9150	6b
0.35	2.6	9029	6c
0.2	1.05	9559	2
0	1.5	1814	4b
2.5	4	8379	6e1
0	1.1	1333	1
23	23.4	14410	9b
2.8	3.2	2680	2
0	1.8	7921	2
28.5	34.6	14405	12b
3.2	3.6	10656	4e
0.25	2.7	7792	3
6.5	8	8417	6c
0	0.2	9306	1
9.3	10.3	12018	7b
6.3	8	12190	6c
4	9	7743	2
8.6	12.8	7923	6e2
8	16	9598	7a
2.6	3.6	9144	6c2
0.8	1.6	8632	6a1
5.4	8.8	13520	6d2
4	12	8188	7e
9.8	20.58	7962	7e
4.9	8.1	8880	6e2
0	4.9	7548	6a
0.9	2.8	13439	6d1
0.9	5.1	9121	6b
3	6	8890	6c
2	4	6365	7e
0.9	1.8	9155	6b
33	65.8	1906	9a
1.15	1.4	8483	3
9.1	12	9046	6e2
2.4	2.8	1095	7d
2	4	4260	7d
3.1	5.7	8922	6b
0	30.2	13784	2
0.85	2.45	12196	7d
13	13.4	13280	9a
0.95	1.4	12099	2
1	7.4	6985	6a
3	42	2054	9a
23.7	32.6	13478	6d12
0.3	0.5	11967	2
0.6	0.85	9074	6b
14.9	17.1	2973	9a
3.1	4	2330	4a
10	15.1	13833	6e2
0	4	7515	4-9a
0.7	1	13658	2
13.2	17.1	2335	9a
14	15.2	12147	7d12
1.3	2.6	13637	9a
8.8	10.5	8061	9a
4.9	6.9	13619	6e2
0	0.25	8821	2
0	1.2	7708	3
10.5	10.9	8061	9e12
9.9	13.7	1935	6b
4.8	10	14329	2
5.6	14	2430	9a
31.6	36.8	14392	12b
3.8	4.5	8511	6c2
16	20	6246	7d
1	1.85	9291	2
5.7	8.3	9346	6d2
3.5	5.9	8560	6e2
0.85	1.45	13589	6a
0	0.7	7695	1-2
9.4	13.1	2546	7a
8	14	7628	7a
0.9	2.4	11921	3a
0	0.1	9147	2
3.9	5.8	8794	7e
2	2.45	7041	3
0	0.1	8895	1
5.5	6.4	13881	6b
6.2	10	9166	7e2
11.5	36	14389	9a
4	8.4	14389	9a
0.65	3.1	13727	2c
0.85	2.55	2373	6b
40	46	9430	9a
30.2	32.5	13488	6d2
0	1.2	9345	2
1.05	3.4	2437	2
0	16	6357	7d
7.5	8.7	8254	7d
3.4	6	8887	6d
13.8	14.15	13539	9b
0.6	1.5	8342	6a
18	24	13285	9b
19.75	20	14400	12b
1.45	2.35	9320	6c
12	24	6627	9a
3.05	3.3	11995	6c2
2.55	8	11854	9a
0.55	3.1	11946	2
0	0.5	8004	1
2.1	4	7777	7d
0	3	13260	2
0.4	2.15	7521	2
19.4	22	8913	6d12
5.4	8.7	7721	3d
11	12.4	13554	9b
30.1	41.55	8110	9a
2.6	2.7	8665	6d1
0	1.2	8507	2
4.6	20	2374	7d2
0	0.5	8790	1
0	0.5	7771	1
0	0.1	8015	1
0	1	8259	2
1.1	4	1874	4a
1.7	7.7	7289	14-15
99.1	100	1933	9a
14.8	15	11849	9a
38	44	5538	7-12
0	0.3	7981	1
20.5	21.7	13153	7
0	2.3	721	2
9.1	12	9619	9a
0.8	1.2	9056	6a
0.5	4	922	6a
1.5	5.2	2685	2
14	14.5	13837	9b
20	36	4377	9a
0.05	1.2	9407	3
40	54	7640	12d
5	15.55	7524	11d
9.8	10	269	9b
15	15.7	11849	9a1
7.2	10.1	11971	9a
0	0.2	2692	1
0	0.5	11923	2
23.4	25.9	14268	9
4	5.3	9436	9a
0	6.75	6982	4a
5.4	9.8	8322	7e
0	0.3	9070	1
0.55	2.6	14454	1
4	26	11674	7e
2	3.3	8017	6e2
2	16	9414	7d
5.35	9.1	13874	7d
15	18.5	14271	7e
66	70	9419	12b
1	1.4	7829	1-2
54	56	11285	9c
28.75	35.1	7018	7a
0.8	2.1	8560	6b
22.7	31	8689	9a
5.6	6	13426	2
3.8	5.8	8926	2
5.6	13	7850	7e12
0.8	2.35	13740	2d
4.9	7.9	8525	6c2
2.7	4	2423	6e2
0	2	2510	6d
13.9	15	9300	9a
13.2	14.45	14465	9a
29	53	2446	9a
1.75	3.4	7817	5a
56	56.8	1933	9c
0	0.8	1337	1
6.2	7	13861	6b
32	57	6665	7d1
0	0.2	9297	2
9.6	11.6	9217	7e2
2.2	4.1	7910	4a
2.35	6.2	13860	2
1.2	7	9408	6b
0	0.4	9043	2
6.5	11.2	2377	7d12
0	0.3	13717	1
0.4	1.2	8818	2
5.4	6.8	11857	7d1
3.2	5.3	13669	9a
1	1.25	9068	6b12
17.2	18.2	12242	9d
12.3	12.7	13961	6
0.2	0.9	12182	2
0	0.4	14349	2a
1.8	4.5	14318	6d
9.5	12.5	13796	9a
5.5	6	2313	4a
2	7.6	8894	6d
0.35	1.2	13593	2
14.8	15	13535	9a
0	0.25	11972	2
6	22	7946	5a
0.8	2	7609	7e
42.8	54.3	2498	9a
1.2	2.7	8555	6e1
0.4	0.8	12155	2
88	96	737	9a
0.45	1.8	1348	4b
0	0.05	9406	1
7.1	10	11964	9a
6.3	16.6	12347	6d
42.2	50	14344	7d1
0.5	5	8256	7e
4.3	5	8680	6b
10.3	11.2	12018	7c
7.4	8.7	9359	6b
5.75	25.5	14381	9a
1.1	1.8	9355	6b
0.4	1.1	8657	3
0.1	0.4	14292	2b
1	1.35	13301	2d
10	12	13688	7c1
16.7	17.1	9108	7d12
5.5	8.9	11891	6c12
0	0.4	13503	2
0.1	2.5	2422	1-2
3.6	5.35	13873	6d
26.7	34.8	1321	9c
26.8	27.64	12554	14-15
50	51.2	1909	9a
0	0.3	9067	1
0	0.4	8509	1
6.5	10.2	9209	7d12
2.3	4	8583	6d2
13.7	14.5	13280	9a
37.7	42.35	7035	7c1
0	0.5	11926	2
0	0.3	8054	1
1.9	3	13746	7d1
23.15	25	13870	9a
16.8	17	14329	2c
74	78	13524	7c
0.65	1.6	8703	2
12.2	14.9	2976	4a
1	2	6664	6d1
1.8	3.8	8624	2
46.9	49.4	5557	11d1
9.3	9.6	8618	7c
30	44	14318	6d
0	0.6	8620	2
1.5	3.1	7827	6b
0.4	1.2	8685	2
2.1	2.45	8338	2
11.3	20	9103	6d2
2.6	7.1	11843	7d1
0	2	1275	1
18.5	50.3	11980	6e12
0	0.8	13562	2
0.5	1.2	11890	2
2.1	2.9	8508	6c2
1.8	4.1	9155	6e12
5.6	25	7619	7d
0	2	9414	7a
38.75	40	2364	9a
10.7	16.6	8574	7e12
4	12	13287	7c
0.2	0.7	11958	9a
6.4	8.7	9053	6c2
0	2	4260	7c
1	2.5	8648	6e1
0	0.5	2306	1
1	2.4	1095	7d
6.9	8.6	7858	6d2
0.15	0.65	7778	1
9.2	10	13242	9a
0	0.5	8255	1
10.75	11.4	13543	7c
2.6	3	13338	4-9a
3.1	9.8	13728	7e1
0.1	1.1	9404	2
39.2	41.8	12167	9a
19.6	20.65	7854	9a
15	21	10029	9a
6	8	10031	7d
6.9	8.8	13823	7c1
0	1	14411	2
0.8	1.3	8422	3
7.7	7.9	13659	7d1
9.3	11.4	13963	6
1.9	3.3	9229	6e12
11.2	14	8942	9a
0.15	1.8	7764	2
0	0.5	13646	2
6.6	15.8	9660	9a
7.4	8.15	13452	7d1
51.2	92	1213	9a
0.4	1.3	8510	2
0	12.4	11748	2
16.7	17.1	9113	7d12
8	11.5	8417	6d
4.5	8	13787	9b
5.8	6.1	8926	2
0	1.7	8608	1
5	9.8	9308	6e2
0	0.25	9145	2
6	8	13551	7b
14	24	7644	12a
7	13	7009	7e
14.2	16.5	13896	6d2
2.3	7.4	8450	6d2
0	2	12150	1
24.8	27.3	12161	7d1
5.1	26.3	1335	7d
1.9	2.1	13533	4c
3.5	10.6	13813	2
4.4	5.8	716	9a
0	0.2	9137	1
2.5	2.7	2422	1-2
0	0.1	8462	1-2
7.2	18.9	14291	7d
0	6	14367	1
3.1	6.3	13155	7d1
1.3	3.1	12044	2c
22	30	8746	7d1
2.1	6.7	7825	7d1
3.3	10.3	8017	6d2
4.2	5.1	8506	6c12
21.5	23	7902	7c1
2	4	8188	7d
0.3	1.2	13278	2d
0	0.6	14475	1
4	5.4	9074	6b12
2.15	2.4	11935	2
32.7	34	11878	7a
1.8	19	2309	9
0.3	7.1	8009	6b
1	1.45	9070	1
0.1	0.5	12186	2
0.25	3.2	12306	2
14	18	6169	7e
0.25	0.6	9250	3
1.4	5.3	7830	71
1.1	2.1	8715	6d1
3.8	4.85	7066	7b
4.2	4.8	2650	6d12
7.4	9.1	9046	6d2
5.3	6.5	14338	5e
4.5	6.5	8712	7e2
0.6	1	1872	1
4	6.4	8963	6d12
8.6	10	13688	7d1
2.5	10	8330	6c
3.5	4.4	7554	6d
22.9	26.35	7537	7d
0.2	0.55	7753	3
4.8	6	2650	6c1
20.75	27.2	12358	6d1
3.6	4.1	1878	7a
10	13.2	7089	6c2
14.4	15	8884	7d2
0	2	7503	2
0.85	1.75	14283	6a
4.9	6	9283	6c2
1.9	6.6	14322	6
8.9	16	9647	9a
0	0.1	9323	1
3.1	7.6	9251	6e2
0	0.3	13642	1
6.3	6.5	13983	6
2.1	3.1	11754	6e1
18.1	19.5	8014	7d2
16.2	22.5	2869	7d1
3.6	8.1	13504	6b
2.7	3.9	13835	6d2
14	20	13897	9a
0.6	1.8	9181	3c
1.3	3.9	8757	6b
0.5	0.65	13301	2
13.9	14.6	7924	7e2
5.4	6.35	13283	6d12
7.35	77	7038	9a
3.1	6.6	7810	7d1
16.55	21.5	7971	6d
7.1	13.5	11841	9a
2.8	3.5	12007	3
0.85	1.4	2447	2
30	40	4396	9a
46	47.5	9574	14-15
9.1	29.6	1575	6e2
6.4	9.3	2321	9a
24	26	8199	7a
32	48	8526	7e
14.55	23.9	9623	14-15
49.5	100.5	12242	9a
16.5	20	9436	9a
6.9	9.1	12012	9b
4	10.2	14325	6d12
0	2.1	7559	4-9b
4.55	4.7	13534	7c1
4.6	9.9	9062	6d
0	0.7	8488	3
0	2.8	8434	2
1.1	4.05	13446	6d
0.9	10.3	2227	9a
0	0.3	8931	1
1.8	3.6	13738	6d1
23.1	36.8	14265	6a
1.5	5.1	7761	7e1
0.4	1.2	14286	1
0	2	1001	6c
0.5	1	8661	3
4.8	6	7044	7c1
0	1.65	7647	2
0.8	1.1	8710	2
0.4	1.1	9706	3
0	1	14430	6e
10.8	11.4	12128	5d12
1.1	2.3	9172	6c12
2.1	4.7	12175	7c1
24.2	24.9	11747	7a
8	10	8809	6c2
12	14.5	9295	6d
0.4	0.6	8460	3
8.7	10	9627	9a
0	1.6	8556	2
1.15	2.15	11935	2
0.5	0.8	8539	3d
4.2	10.9	9743	7d12
5.1	24.5	12321	9a
11.5	20	7525	9a
0.2	0.5	8418	2
0.4	0.6	8552	2
0	0.25	9035	1
1.9	4.1	8933	6b
2.5	2.95	8605	6b2
4.8	10.3	2571	7c12
7.7	12	23004	7d12
7.4	7.8	13971	4
2.5	7.6	14332	7e1
0.7	8	9066	6b
66.5	115	2703	9a
5.3	6.4	13814	7d1
2.6	13	13755	9a
33.7	36	10062	9a
2	3	2034	9a
8	14	14376	7e
1.2	4.2	13434	6e
56.4	57	14319	7a
28	36	8530	12b
7.4	23	6985	6d
0	0.5	13826	2
4.35	6.3	444	9a
48.6	51	10048	12e
74.1	80	2213	9a
0.2	2.5	7288	14-15
2	8	2511	7d
2.6	3.1	8945	6d1
40.8	49.5	8776	9a
0.3	0.9	8851	3
4	5.85	13840	2
23.6	24	13879	9b
0.3	1.3	8353	6c1
1.7	2.6	7875	6d2
3.65	4.5	8387	6e12
19.6	26.5	6320	9a
0.9	2	8893	3
0.15	0.4	9163	2d
0	0.2	7984	1-2
13	13.5	13978	6
30.5	36	12132	9a
5.7	9	8265	6d
2.5	6	7807	7d12
10	15.2	8425	9a
1.8	2.4	10758	3c
0	0.4	8439	2
21.7	29	14258	7d12
8.5	11.8	13157	9b
2.8	6.5	12156	6d1
30	38	5538	7-12a
0	0.5	921	1
6.35	6.9	13283	6d12
0.1	0.85	8896	2
2.9	3.5	8545	9a
14.6	22.1	7908	9b
12	42	13505	9a
27.3	30.3	11931	7d1
1.55	4.75	12330	4a
21.7	22.1	13150	9a
0.2	0.7	13867	2
7.8	12.2	8859	6e2
0	0.1	13740	2
17.8	21.5	14268	9a
0	0.7	8683	2
90	98	7215	12a
14.1	18	9342	6e2
0	0.1	9353	1
0.3	12.3	8248	7e
6.1	10.6	13829	6d2
18	20	9718	9a
4.6	9.2	2338	6c
0	0.5	8660	1
40	64	738	7e
1.1	5.5	12198	6d
3.2	3.9	8708	6d1
0	1.15	12318	2
0.9	1.4	8595	6b2
12.8	15.3	11892	7d1
0.8	3.15	13400	6c12
8.6	10.6	8238	7a
1.8	2.4	8487	6c1
0.6	2.1	13891	2
21.6	23.3	7566	11a
0	1.6	13491	2
13.9	20.1	13887	9a
0	1.2	13362	2
3.25	5.75	12422	6b2
34	42	7106	9a
2	2.8	12120	2
60	64	8276	7a
0.7	2.55	12203	4
4.25	6.6	2653	4a
6.4	12	9074	6c2
6.8	9	2449	7c1
14	20	13440	9a
0	1.3	8912	2
0.4	1.2	9337	3
7.8	8.4	8013	6b
15.4	15.8	14397	9a
25.4	30.8	1545	6e12
86	90	7215	12d
4.5	9.25	13466	6d2
10.9	13.4	13504	6d12
38	48	4279	12c
13.8	16	8026	9a
1.45	4.45	9072	6b12
0	0.5	8603	1
1	3	13137	6d1
5.5	20.5	13605	7e12
0	0.5	2349	1
5.95	9.1	14443	9b
10.95	12	8048	9a
14.5	21	7997	6d2
0	0.08	9378	2
0.6	1.5	9184	3c
29.5	46	7624	12d
4.6	10.2	9030	7d
1.9	3.2	8672	6a
9.5	16	11950	9a
18	24	6169	7e
0	1.8	8624	2
20.8	25.8	7920	9b
0.4	1.1	14292	2a
29	30.8	7963	9a
7	25	13652	7e
0.9	3.2	8453	6d
0.8	7.15	12206	6a
9.2	10.6	13279	6c12
4.7	8.9	13314	7e1
6	12	6262	7d
0	0.4	9038	1
4.85	8.2	7066	7e
6.4	9.5	1878	7a
9.8	18	9044	6e2
3.6	6.3	12105	6b
10.5	34.4	1809	9a
3.9	4.45	11957	9a
1.6	1.85	13960	4
0.7	3	9191	6b
4.1	11	8925	6b2
0	0.4	8674	1
2.9	4.6	9176	6c2
49	67	6285	7c
12	12.2	9405	6e2
0.3	1	8647	3
4.6	13.6	1868	9a
0.4	9.5	8899	6b
28	49	6285	7e
0	2	13442	7e
9.5	12.5	8092	6d
0	0.1	9343	1
9.8	15	9130	6d2
1.4	3.5	6352	6d2
0	2	6361	7
70	75	9242	9c
0.65	1.6	9331	3
49	50.4	13228	7e
1.68	2.3	8911	6d
18.6	30.8	12348	7c1
0	2	8766	2
1.2	1.5	8565	3
26	46	13556	9a
0	0.3	8386	1
4.75	6.9	9148	6c2
22.4	27.9	8561	7c1
6	7.2	12133	2
0	0.4	9277	2
2	6	6010	4a
3.1	4	2797	6a
6.5	9.5	14327	2
20	28	8003	9a
0.2	1.2	8080	4b
3.9	4.9	7941	6b
0	1.5	13139	2
8.2	15.8	14288	6c
0	8	2226	9c
3.3	6.4	9342	6c2
8	30	7613	7e
1.6	10.5	13803	3d2
10.4	12.5	11854	9a
0	0.3	8833	1
16.6	18.6	12348	7d12
3.8	5.6	1331	4
56	62	13007	7b
11.1	11.3	9748	7b
7.3	10	1912	6d1
59	64	13653	11
5.4	5.6	12194	7e
2.8	6.5	1095	7d
11.7	12	9226	7d12
1.6	2.4	8827	6b
2.5	4.8	14329	2
25.7	31.1	6783	9b
0.3	1.1	8446	3
0.9	27.9	8562	8c1
0	0.4	9079	1
0.1	2.1	8769	3
4.5	5.6	12118	4a
12	15	12312	9a
8	10	12231	9a
0.5	2.2	1543	3
4.9	7.9	9142	6b
6	6.85	9629	7e
0.08	0.2	9378	2
0	1.7	717	1-2
16	24	11840	6b
0.35	0.9	8372	3
1	1.8	14448	1
6.4	7.8	8553	6c12
1.3	4.6	1870	4a
3.9	6	9278	6e2
1.1	4.75	9585	7c
0	0.25	8559	2
1	2	13880	2
0.4	2.6	1939	3c
2.7	9.6	8913	6b
0	7	7047	6a
21.5	22.2	14268	9a
6.4	8	854	11c
11	12	9221	7d2
1.05	2	9560	7d12
5.1	8.5	13157	9a
0	0.75	13772	2
2.4	4.2	9743	7d1
8	36.55	7584	9a
0.6	7.25	8252	7e1
0.2	1.1	9591	7d
13	17.5	8066	9a
15.2	16.6	13163	7b
0	0.5	13486	1
8	12	13295	7c
0.68	2.7	7667	2
3	8.4	13766	7d
14	17.6	8936	6d12
9.8	12.4	8933	6e2
30.2	40	13783	9a
0.3	0.75	12168	1
8	17.8	2226	9a
0	0.2	13804	2
10	14	11964	9a
28	32	12342	9a
18.1	21.5	13111	9
0.3	1.2	13434	6e
12	16.3	12046	9a
0.75	1.5	11817	2
1.1	2.1	9263	6b
2.3	17.3	7083	7c1
4.5	5.4	13283	6d12
0	0.4	8243	1-2
0.8	2	9303	3
22	25	13559	9d
24.5	25.35	13974	7
18.7	19.25	12549	9a
3.3	4.6	7814	6b2
7.4	10	2797	6a
71.7	76.4	2081	9d
8.55	9.6	13538	7a
40	56	7636	7e
9.35	11.45	13774	7d2
0	2	8526	7a
2.4	4	12160	6d1
0	0.4	12021	2
4	52	8195	7d1
16.3	17.2	12046	9a
1.4	2.8	12021	2
1	1.4	6352	6b2
1.7	3.8	2073	2
2.55	2.75	12544	1e
4	12	8529	9a
14	18	2318	9a
4	4.8	13110	6d
1.5	3.6	9220	6c1
0	84	13177	7e
6	10.4	9037	7d
11.8	13.5	13900	7d2
3.8	8.5	9704	9b
2	2.55	8466	6a
1.9	13.3	2665	7d
13.4	22.2	1931	6c12
4.6	6.4	8078	9a
3.4	8.5	7649	7c1
1.8	3.1	7922	4a
2.1	3	11962	9a
47.5	51	14279	12d
40.7	41.4	13489	7e1
1.9	2.3	12051	2c
2.7	3.2	11975	2
50	55	7547	9a
6.9	8.9	11966	9a
1.3	2	8465	2
12	16	8529	9e
0	0.3	12144	2
5.4	6.9	9295	6d2
46	48	2790	9b
0.8	1.8	8750	2
32	38	6357	7a
0	0.4	8468	1
0.3	0.9	8503	1-2c
7.8	8	9276	7d1
0.5	1.8	11927	6d12
2	4	13292	7a
21.3	23.85	14424	9a
58	60	9430	9b
14.5	15	9209	7e12
25.5	44.9	14278	7e
1.6	4.2	13575	7c1
0	0.25	7969	1
12.9	15	8872	7c1
3.6	7.2	11758	6b
25.85	34.75	8074	9a
0.5	0.9	8882	3
14.5	23.3	2019	6d2
13.2	18	8915	6d12
0	0.3	8727	1
68	84	8183	12d
21.5	22.9	8382	7d12
0	0.6	12126	2
1.4	1.6	8484	6b
4.6	8.9	7031	7d
5.6	9.3	9100	6c12
0	0.4	9087	1
11.2	18	13490	9a
2.2	3.5	1720	7c1
6	20	4283	7d
0.4	1.5	13582	3d
2.1	10	7339	6e
46.8	47.4	7959	12c
1.45	1.65	8487	6c1
0	0.4	8451	2
4.9	6.2	8429	6d2
0	0.68	7667	2
56.7	57.1	1902	10
0.6	1.6	9062	6c
