ID_ADMIN;COORD_X;COORD_Y;ALT_TERRAI;PROFONDE_1
7554;2502088.25;1127543.26;381.39;3.4
7414;2501293.24;1126636.22;409.2;2.4
13397;2501422.27;1127004.22;405;4
10380;2500246.25;1126459.26;415.46;20
17347;2501811.76;1126407.73;387.02;4
9085;2501865.27;1127250.26;389.2;2.9
8836;2501695.27;1126922.22;391.57;2.3
3834;2500214.25;1126425.27;405;10
12689;2501562.27;1127032.23;396.6;8
2746;2501669.27;1127070.23;392.23;11
12004;2501724.45;1126812.08;393.05;3.1
9968;2502179.24;1127732.24;374;1.5
9750;2501671.27;1126825.21;397.35;9.2
1239;2501906.29;1126427.2;384.4;15.05
4414;2501844.26;1127600.27;395;3.5
16064;2500971.8;1126384.8;423;190
6395;2502052.27;1127227.68;382.6;5
11251;2500217.25;1126471.26;414.7;14.8
10850;2501898.29;1125810.19;378.17;29.5
17036;2501034;1126974;424.7;4.5
1234;2501912.3;1126132.19;385.1;16
17034;2500996;1126943;425;4.8
8755;2501785.27;1127130.25;389.6;3.6
14036;2502015.38;1127773.55;385;180
7612;2502027.31;1128030.68;391.8;4.2
13969;2501652.27;1127256.25;393;2
10790;2501702.27;1126845.21;393.11;10
14155;2501893.26;1127384.27;390;4.3
7423;2502097.25;1127546.26;381.7;2.4
12971;2501995.72;1126504.58;383;60
7582;2501624.29;1126318.19;396.5;2.8
7136;2500999.23;1126846.24;424.4;2.3
914;2501806.29;1125810.2;376.8;21
8694;2501743.29;1126380.19;389.47;4
12221;2499813.94;1126396.59;405.42;17
14001;2501063.08;1126269.6;421.33;160
8824;2501184.25;1126870.22;416.13;45.2
2767;2502034.29;1125875.19;379.57;6
12331;2501758.27;1127253.26;392.03;4
125;2500254.25;1126535.25;415.58;12
8754;2501869.27;1127316.27;390.7;2.3
1463;2500404.23;1127315.27;423.66;8.15
3232;2499567.3;1126355.27;405.5;26
9961;2501523.25;1127740.27;401.4;3.9
9325;2502180.29;1125899.21;374.3;10.45
14156;2501878.26;1127376.27;390;4.3
6386;2502025.26;1127346.27;386.2;4.2
9584;2501054.26;1127255.23;422.6;2.3
17033;2501019;1126939;424.65;4.15
15885;2501982;1127406;388;160
12332;2501718.27;1127263.26;392.31;4.3
4079;2499897.28;1126209.29;401.25;10
9663;2501771.26;1127400.27;392.6;2.8
3604;2501839.3;1126140.18;392.5;6.9
12008;2501789.87;1127395.45;392.75;3.6
7502;2501652.27;1127224.25;392.96;3.5
7611;2501999.28;1128050.72;389.1;8
2768;2502041.29;1125890.19;382.7;10
12504;2500389.24;1126348.37;395.61;9
10638;2502209.22;1127779.22;374.35;12.6
13395;2501420.55;1127012.14;405;5
6078;2501593.27;1126701.2;401.18;43.3
6707;2501734.27;1126700.2;390.9;28.5
8894;2501286.25;1126795.22;409.2;1.1
6256;2500949.22;1126583.24;425.5;2.6
6568;2501449.27;1126053.19;405.5;4.7
1451;2502227.28;1125770.21;374.05;12.6
15711;2501178.84;1126495.16;420;130
14366;2501899.3;1126208.19;387.57;18
14369;2501968.3;1126269.2;379.59;15
9475;2502133.27;1126857.24;378.4;3.5
5244;2501245.26;1127228.23;418.5;2.1
10787;2501789.22;1127876.29;402.57;10
